Situation,Reform,Period,Variable,Value
level_1400,AL_MM01,2016-05,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2016-06,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2016-07,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2016-08,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2016-09,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2016-10,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2016-11,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2016-12,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2017-01,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2017-02,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2017-03,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2017-04,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2017-05,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2017-06,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2017-07,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2017-08,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2017-09,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2017-10,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2017-11,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2017-12,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2018-01,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2018-02,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2018-03,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2018-04,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2018-05,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2018-06,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2018-07,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2018-08,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2018-09,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2018-10,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2018-11,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2018-12,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2019-01,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2019-02,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2019-03,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2019-04,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2019-05,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2019-06,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2019-07,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2019-08,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2019-09,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2019-10,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2019-11,aide_logement_base_ressources,15200.0
level_1400,AL_MM01,2019-12,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2015-01,loyer,500.0
level_1400,AL_MM03,2015-02,loyer,500.0
level_1400,AL_MM03,2015-03,loyer,500.0
level_1400,AL_MM03,2015-04,loyer,500.0
level_1400,AL_MM03,2015-05,loyer,500.0
level_1400,AL_MM03,2015-06,loyer,500.0
level_1400,AL_MM03,2015-07,loyer,500.0
level_1400,AL_MM03,2015-08,loyer,500.0
level_1400,AL_MM03,2015-09,loyer,500.0
level_1400,AL_MM03,2015-10,loyer,500.0
level_1400,AL_MM03,2015-11,loyer,500.0
level_1400,AL_MM03,2015-12,loyer,500.0
level_1400,AL_MM03,2016-01,loyer,500.0
level_1400,AL_MM03,2016-02,loyer,500.0
level_1400,AL_MM03,2016-03,loyer,500.0
level_1400,AL_MM03,2016-04,loyer,500.0
level_1400,AL_MM03,2016-05,loyer,500.0
level_1400,AL_MM03,2016-06,loyer,500.0
level_1400,AL_MM03,2016-07,loyer,500.0
level_1400,AL_MM03,2016-08,loyer,500.0
level_1400,AL_MM03,2016-09,loyer,500.0
level_1400,AL_MM03,2016-10,loyer,500.0
level_1400,AL_MM03,2016-11,loyer,500.0
level_1400,AL_MM03,2016-12,loyer,500.0
level_1400,AL_MM03,2017-01,loyer,500.0
level_1400,AL_MM03,2017-02,loyer,500.0
level_1400,AL_MM03,2017-03,loyer,500.0
level_1400,AL_MM03,2017-04,loyer,500.0
level_1400,AL_MM03,2017-05,loyer,500.0
level_1400,AL_MM03,2017-06,loyer,500.0
level_1400,AL_MM03,2017-07,loyer,500.0
level_1400,AL_MM03,2017-08,loyer,500.0
level_1400,AL_MM03,2017-09,loyer,500.0
level_1400,AL_MM03,2017-10,loyer,500.0
level_1400,AL_MM03,2017-11,loyer,500.0
level_1400,AL_MM03,2017-12,loyer,500.0
level_1400,AL_MM03,2018-01,loyer,500.0
level_1400,AL_MM03,2018-02,loyer,500.0
level_1400,AL_MM03,2018-03,loyer,500.0
level_1400,AL_MM03,2018-04,loyer,500.0
level_1400,AL_MM03,2018-05,loyer,500.0
level_1400,AL_MM03,2018-06,loyer,500.0
level_1400,AL_MM03,2018-07,loyer,500.0
level_1400,AL_MM03,2018-08,loyer,500.0
level_1400,AL_MM03,2018-09,loyer,500.0
level_1400,AL_MM03,2018-10,loyer,500.0
level_1400,AL_MM03,2018-11,loyer,500.0
level_1400,AL_MM03,2018-12,loyer,500.0
level_1400,AL_MM03,2019-01,loyer,500.0
level_1400,AL_MM03,2019-02,loyer,500.0
level_1400,AL_MM03,2019-03,loyer,500.0
level_1400,AL_MM03,2019-04,loyer,500.0
level_1400,AL_MM03,2019-05,loyer,500.0
level_1400,AL_MM03,2019-06,loyer,500.0
level_1400,AL_MM03,2019-07,loyer,500.0
level_1400,AL_MM03,2019-08,loyer,500.0
level_1400,AL_MM03,2019-09,loyer,500.0
level_1400,AL_MM03,2019-10,loyer,500.0
level_1400,AL_MM03,2019-11,loyer,500.0
level_1400,AL_MM03,2019-12,loyer,500.0
level_1400,AL_MM03,2015-01,salaire_net,1400.0
level_1400,AL_MM03,2015-02,salaire_net,1400.0
level_1400,AL_MM03,2015-03,salaire_net,1400.0
level_1400,AL_MM03,2015-04,salaire_net,1400.0
level_1400,AL_MM03,2015-05,salaire_net,1400.0
level_1400,AL_MM03,2015-06,salaire_net,1400.0
level_1400,AL_MM03,2015-07,salaire_net,1400.0
level_1400,AL_MM03,2015-08,salaire_net,1400.0
level_1400,AL_MM03,2015-09,salaire_net,1400.0
level_1400,AL_MM03,2015-10,salaire_net,1400.0
level_1400,AL_MM03,2015-11,salaire_net,1400.0
level_1400,AL_MM03,2015-12,salaire_net,1400.0
level_1400,AL_MM03,2016-01,salaire_net,1400.0
level_1400,AL_MM03,2016-02,salaire_net,1400.0
level_1400,AL_MM03,2016-03,salaire_net,1400.0
level_1400,AL_MM03,2016-04,salaire_net,1400.0
level_1400,AL_MM03,2016-05,salaire_net,1400.0
level_1400,AL_MM03,2016-06,salaire_net,1400.0
level_1400,AL_MM03,2016-07,salaire_net,1400.0
level_1400,AL_MM03,2016-08,salaire_net,1400.0
level_1400,AL_MM03,2016-09,salaire_net,1400.0
level_1400,AL_MM03,2016-10,salaire_net,1400.0
level_1400,AL_MM03,2016-11,salaire_net,1400.0
level_1400,AL_MM03,2016-12,salaire_net,1400.0
level_1400,AL_MM03,2017-01,salaire_net,1400.0
level_1400,AL_MM03,2017-02,salaire_net,1400.0
level_1400,AL_MM03,2017-03,salaire_net,1400.0
level_1400,AL_MM03,2017-04,salaire_net,1400.0
level_1400,AL_MM03,2017-05,salaire_net,1400.0
level_1400,AL_MM03,2017-06,salaire_net,1400.0
level_1400,AL_MM03,2017-07,salaire_net,1400.0
level_1400,AL_MM03,2017-08,salaire_net,1400.0
level_1400,AL_MM03,2017-09,salaire_net,1400.0
level_1400,AL_MM03,2017-10,salaire_net,1400.0
level_1400,AL_MM03,2017-11,salaire_net,1400.0
level_1400,AL_MM03,2017-12,salaire_net,1400.0
level_1400,AL_MM03,2018-01,salaire_net,1400.0
level_1400,AL_MM03,2018-02,salaire_net,1400.0
level_1400,AL_MM03,2018-03,salaire_net,1400.0
level_1400,AL_MM03,2018-04,salaire_net,1400.0
level_1400,AL_MM03,2018-05,salaire_net,1400.0
level_1400,AL_MM03,2018-06,salaire_net,1400.0
level_1400,AL_MM03,2018-07,salaire_net,1400.0
level_1400,AL_MM03,2018-08,salaire_net,1400.0
level_1400,AL_MM03,2018-09,salaire_net,1400.0
level_1400,AL_MM03,2018-10,salaire_net,1400.0
level_1400,AL_MM03,2018-11,salaire_net,1400.0
level_1400,AL_MM03,2018-12,salaire_net,1400.0
level_1400,AL_MM03,2019-01,salaire_net,1400.0
level_1400,AL_MM03,2019-02,salaire_net,1400.0
level_1400,AL_MM03,2019-03,salaire_net,1400.0
level_1400,AL_MM03,2019-04,salaire_net,1400.0
level_1400,AL_MM03,2019-05,salaire_net,1400.0
level_1400,AL_MM03,2019-06,salaire_net,1400.0
level_1400,AL_MM03,2019-07,salaire_net,1400.0
level_1400,AL_MM03,2019-08,salaire_net,1400.0
level_1400,AL_MM03,2019-09,salaire_net,1400.0
level_1400,AL_MM03,2019-10,salaire_net,1400.0
level_1400,AL_MM03,2019-11,salaire_net,1400.0
level_1400,AL_MM03,2019-12,salaire_net,1400.0
level_1400,AL_MM03,2015-01,aide_logement,272.2
level_1400,AL_MM03,2015-02,aide_logement,0.0
level_1400,AL_MM03,2015-03,aide_logement,0.0
level_1400,AL_MM03,2015-04,aide_logement,0.0
level_1400,AL_MM03,2015-05,aide_logement,0.0
level_1400,AL_MM03,2015-06,aide_logement,0.0
level_1400,AL_MM03,2015-07,aide_logement,0.0
level_1400,AL_MM03,2015-08,aide_logement,0.0
level_1400,AL_MM03,2015-09,aide_logement,0.0
level_1400,AL_MM03,2015-10,aide_logement,0.0
level_1400,AL_MM03,2015-11,aide_logement,0.0
level_1400,AL_MM03,2015-12,aide_logement,0.0
level_1400,AL_MM03,2016-01,aide_logement,0.0
level_1400,AL_MM03,2016-02,aide_logement,0.0
level_1400,AL_MM03,2016-03,aide_logement,0.0
level_1400,AL_MM03,2016-04,aide_logement,0.0
level_1400,AL_MM03,2016-05,aide_logement,0.0
level_1400,AL_MM03,2016-06,aide_logement,0.0
level_1400,AL_MM03,2016-07,aide_logement,0.0
level_1400,AL_MM03,2016-08,aide_logement,0.0
level_1400,AL_MM03,2016-09,aide_logement,0.0
level_1400,AL_MM03,2016-10,aide_logement,0.0
level_1400,AL_MM03,2016-11,aide_logement,0.0
level_1400,AL_MM03,2016-12,aide_logement,0.0
level_1400,AL_MM03,2017-01,aide_logement,0.0
level_1400,AL_MM03,2017-02,aide_logement,0.0
level_1400,AL_MM03,2017-03,aide_logement,0.0
level_1400,AL_MM03,2017-04,aide_logement,0.0
level_1400,AL_MM03,2017-05,aide_logement,0.0
level_1400,AL_MM03,2017-06,aide_logement,0.0
level_1400,AL_MM03,2017-07,aide_logement,0.0
level_1400,AL_MM03,2017-08,aide_logement,0.0
level_1400,AL_MM03,2017-09,aide_logement,0.0
level_1400,AL_MM03,2017-10,aide_logement,0.0
level_1400,AL_MM03,2017-11,aide_logement,0.0
level_1400,AL_MM03,2017-12,aide_logement,0.0
level_1400,AL_MM03,2018-01,aide_logement,0.0
level_1400,AL_MM03,2018-02,aide_logement,0.0
level_1400,AL_MM03,2018-03,aide_logement,0.0
level_1400,AL_MM03,2018-04,aide_logement,0.0
level_1400,AL_MM03,2018-05,aide_logement,0.0
level_1400,AL_MM03,2018-06,aide_logement,0.0
level_1400,AL_MM03,2018-07,aide_logement,0.0
level_1400,AL_MM03,2018-08,aide_logement,0.0
level_1400,AL_MM03,2018-09,aide_logement,0.0
level_1400,AL_MM03,2018-10,aide_logement,0.0
level_1400,AL_MM03,2018-11,aide_logement,0.0
level_1400,AL_MM03,2018-12,aide_logement,0.0
level_1400,AL_MM03,2019-01,aide_logement,0.0
level_1400,AL_MM03,2019-02,aide_logement,0.0
level_1400,AL_MM03,2019-03,aide_logement,0.0
level_1400,AL_MM03,2019-04,aide_logement,0.0
level_1400,AL_MM03,2019-05,aide_logement,0.0
level_1400,AL_MM03,2019-06,aide_logement,0.0
level_1400,AL_MM03,2019-07,aide_logement,0.0
level_1400,AL_MM03,2019-08,aide_logement,0.0
level_1400,AL_MM03,2019-09,aide_logement,0.0
level_1400,AL_MM03,2019-10,aide_logement,0.0
level_1400,AL_MM03,2019-11,aide_logement,0.0
level_1400,AL_MM03,2019-12,aide_logement,0.0
level_1400,AL_MM03,2015-01,ppa,0.0
level_1400,AL_MM03,2015-02,ppa,0.0
level_1400,AL_MM03,2015-03,ppa,0.0
level_1400,AL_MM03,2015-04,ppa,0.0
level_1400,AL_MM03,2015-05,ppa,0.0
level_1400,AL_MM03,2015-06,ppa,0.0
level_1400,AL_MM03,2015-07,ppa,0.0
level_1400,AL_MM03,2015-08,ppa,0.0
level_1400,AL_MM03,2015-09,ppa,0.0
level_1400,AL_MM03,2015-10,ppa,0.0
level_1400,AL_MM03,2015-11,ppa,0.0
level_1400,AL_MM03,2015-12,ppa,0.0
level_1400,AL_MM03,2016-01,ppa,59.16
level_1400,AL_MM03,2016-02,ppa,59.16
level_1400,AL_MM03,2016-03,ppa,59.16
level_1400,AL_MM03,2016-04,ppa,59.74
level_1400,AL_MM03,2016-05,ppa,59.74
level_1400,AL_MM03,2016-06,ppa,59.74
level_1400,AL_MM03,2016-07,ppa,59.74
level_1400,AL_MM03,2016-08,ppa,59.74
level_1400,AL_MM03,2016-09,ppa,59.74
level_1400,AL_MM03,2016-10,ppa,59.74
level_1400,AL_MM03,2016-11,ppa,59.74
level_1400,AL_MM03,2016-12,ppa,59.74
level_1400,AL_MM03,2017-01,ppa,59.74
level_1400,AL_MM03,2017-02,ppa,59.74
level_1400,AL_MM03,2017-03,ppa,59.74
level_1400,AL_MM03,2017-04,ppa,61.52
level_1400,AL_MM03,2017-05,ppa,61.52
level_1400,AL_MM03,2017-06,ppa,61.52
level_1400,AL_MM03,2017-07,ppa,61.52
level_1400,AL_MM03,2017-08,ppa,61.52
level_1400,AL_MM03,2017-09,ppa,61.52
level_1400,AL_MM03,2017-10,ppa,61.52
level_1400,AL_MM03,2017-11,ppa,61.52
level_1400,AL_MM03,2017-12,ppa,61.52
level_1400,AL_MM03,2018-01,ppa,61.52
level_1400,AL_MM03,2018-02,ppa,61.52
level_1400,AL_MM03,2018-03,ppa,61.52
level_1400,AL_MM03,2018-04,ppa,61.52
level_1400,AL_MM03,2018-05,ppa,61.52
level_1400,AL_MM03,2018-06,ppa,61.52
level_1400,AL_MM03,2018-07,ppa,61.52
level_1400,AL_MM03,2018-08,ppa,61.52
level_1400,AL_MM03,2018-09,ppa,61.52
level_1400,AL_MM03,2018-10,ppa,61.52
level_1400,AL_MM03,2018-11,ppa,61.52
level_1400,AL_MM03,2018-12,ppa,61.52
level_1400,AL_MM03,2019-01,ppa,61.52
level_1400,AL_MM03,2019-02,ppa,61.52
level_1400,AL_MM03,2019-03,ppa,61.52
level_1400,AL_MM03,2019-04,ppa,61.52
level_1400,AL_MM03,2019-05,ppa,61.52
level_1400,AL_MM03,2019-06,ppa,61.52
level_1400,AL_MM03,2019-07,ppa,61.52
level_1400,AL_MM03,2019-08,ppa,61.52
level_1400,AL_MM03,2019-09,ppa,61.52
level_1400,AL_MM03,2019-10,ppa,61.52
level_1400,AL_MM03,2019-11,ppa,61.52
level_1400,AL_MM03,2019-12,ppa,61.52
level_1400,AL_MM03,2015-01,aide_logement_base_ressources,0.0
level_1400,AL_MM03,2015-02,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2015-03,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2015-04,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2015-05,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2015-06,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2015-07,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2015-08,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2015-09,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2015-10,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2015-11,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2015-12,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2016-01,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2016-02,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2016-03,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2016-04,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2016-05,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2016-06,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2016-07,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2016-08,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2016-09,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2016-10,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2016-11,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2016-12,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2017-01,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2017-02,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2017-03,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2017-04,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2017-05,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2017-06,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2017-07,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2017-08,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2017-09,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2017-10,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2017-11,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2017-12,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2018-01,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2018-02,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2018-03,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2018-04,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2018-05,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2018-06,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2018-07,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2018-08,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2018-09,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2018-10,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2018-11,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2018-12,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2019-01,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2019-02,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2019-03,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2019-04,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2019-05,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2019-06,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2019-07,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2019-08,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2019-09,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2019-10,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2019-11,aide_logement_base_ressources,15200.0
level_1400,AL_MM03,2019-12,aide_logement_base_ressources,15200.0
level_1400,AL_MM12,2015-01,loyer,500.0
level_1400,AL_MM12,2015-02,loyer,500.0
level_1400,AL_MM12,2015-03,loyer,500.0
level_1400,AL_MM12,2015-04,loyer,500.0
level_1400,AL_MM12,2015-05,loyer,500.0
level_1400,AL_MM12,2015-06,loyer,500.0
level_1400,AL_MM12,2015-07,loyer,500.0
level_1400,AL_MM12,2015-08,loyer,500.0
level_1400,AL_MM12,2015-09,loyer,500.0
level_1400,AL_MM12,2015-10,loyer,500.0
level_1400,AL_MM12,2015-11,loyer,500.0
level_1400,AL_MM12,2015-12,loyer,500.0
level_1400,AL_MM12,2016-01,loyer,500.0
level_1400,AL_MM12,2016-02,loyer,500.0
level_1400,AL_MM12,2016-03,loyer,500.0
level_1400,AL_MM12,2016-04,loyer,500.0
level_1400,AL_MM12,2016-05,loyer,500.0
level_1400,AL_MM12,2016-06,loyer,500.0
level_1400,AL_MM12,2016-07,loyer,500.0
level_1400,AL_MM12,2016-08,loyer,500.0
level_1400,AL_MM12,2016-09,loyer,500.0
level_1400,AL_MM12,2016-10,loyer,500.0
level_1400,AL_MM12,2016-11,loyer,500.0
level_1400,AL_MM12,2016-12,loyer,500.0
level_1400,AL_MM12,2017-01,loyer,500.0
level_1400,AL_MM12,2017-02,loyer,500.0
level_1400,AL_MM12,2017-03,loyer,500.0
level_1400,AL_MM12,2017-04,loyer,500.0
level_1400,AL_MM12,2017-05,loyer,500.0
level_1400,AL_MM12,2017-06,loyer,500.0
level_1400,AL_MM12,2017-07,loyer,500.0
level_1400,AL_MM12,2017-08,loyer,500.0
level_1400,AL_MM12,2017-09,loyer,500.0
level_1400,AL_MM12,2017-10,loyer,500.0
level_1400,AL_MM12,2017-11,loyer,500.0
level_1400,AL_MM12,2017-12,loyer,500.0
level_1400,AL_MM12,2018-01,loyer,500.0
level_1400,AL_MM12,2018-02,loyer,500.0
level_1400,AL_MM12,2018-03,loyer,500.0
level_1400,AL_MM12,2018-04,loyer,500.0
level_1400,AL_MM12,2018-05,loyer,500.0
level_1400,AL_MM12,2018-06,loyer,500.0
level_1400,AL_MM12,2018-07,loyer,500.0
level_1400,AL_MM12,2018-08,loyer,500.0
level_1400,AL_MM12,2018-09,loyer,500.0
level_1400,AL_MM12,2018-10,loyer,500.0
level_1400,AL_MM12,2018-11,loyer,500.0
level_1400,AL_MM12,2018-12,loyer,500.0
level_1400,AL_MM12,2019-01,loyer,500.0
level_1400,AL_MM12,2019-02,loyer,500.0
level_1400,AL_MM12,2019-03,loyer,500.0
level_1400,AL_MM12,2019-04,loyer,500.0
level_1400,AL_MM12,2019-05,loyer,500.0
level_1400,AL_MM12,2019-06,loyer,500.0
level_1400,AL_MM12,2019-07,loyer,500.0
level_1400,AL_MM12,2019-08,loyer,500.0
level_1400,AL_MM12,2019-09,loyer,500.0
level_1400,AL_MM12,2019-10,loyer,500.0
level_1400,AL_MM12,2019-11,loyer,500.0
level_1400,AL_MM12,2019-12,loyer,500.0
level_1400,AL_MM12,2015-01,salaire_net,1400.0
level_1400,AL_MM12,2015-02,salaire_net,1400.0
level_1400,AL_MM12,2015-03,salaire_net,1400.0
level_1400,AL_MM12,2015-04,salaire_net,1400.0
level_1400,AL_MM12,2015-05,salaire_net,1400.0
level_1400,AL_MM12,2015-06,salaire_net,1400.0
level_1400,AL_MM12,2015-07,salaire_net,1400.0
level_1400,AL_MM12,2015-08,salaire_net,1400.0
level_1400,AL_MM12,2015-09,salaire_net,1400.0
level_1400,AL_MM12,2015-10,salaire_net,1400.0
level_1400,AL_MM12,2015-11,salaire_net,1400.0
level_1400,AL_MM12,2015-12,salaire_net,1400.0
level_1400,AL_MM12,2016-01,salaire_net,1400.0
level_1400,AL_MM12,2016-02,salaire_net,1400.0
level_1400,AL_MM12,2016-03,salaire_net,1400.0
level_1400,AL_MM12,2016-04,salaire_net,1400.0
level_1400,AL_MM12,2016-05,salaire_net,1400.0
level_1400,AL_MM12,2016-06,salaire_net,1400.0
level_1400,AL_MM12,2016-07,salaire_net,1400.0
